builder;ram;channels;swap;desc;-j;PN;e;S;U;P;c;w;R;F;M
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666-tmpfs;64;qtwebengine;619.76;0.45;3.43;0%;756;46712;10585;2;29988
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666;32;chromium-x11;2251.02;0.86;9.37;0%;1046;135855;10572;0;30500
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666;32;qtbase;294.01;0.04;0.37;0%;34;11343;10549;0;30516
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666;32;qtdeclarative;133.06;0.07;0.28;0%;28;10503;10565;0;30484
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666;32;qtwebengine;769.91;0.35;3.11;0%;286;62735;10550;0;30552
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666;48;chromium-x11;1938.13;0.90;10.18;0%;1382;118588;10551;0;30512
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666;48;qtbase;279.82;0.04;0.38;0%;30;11189;10546;0;30356
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666;48;qtdeclarative;129.24;0.04;0.31;0%;30;10560;10563;0;30660
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666;48;qtwebengine;673.79;0.32;3.35;0%;400;54587;10556;0;30512
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666;64;chromium-x11;1745.58;1.08;10.99;0%;2259;97872;10555;0;30628
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666;64;qtbase;280.22;0.05;0.37;0%;28;11118;10543;0;30644
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666;64;qtdeclarative;127.75;0.04;0.32;0%;24;10481;10555;0;30468
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-2666;64;qtwebengine;593.67;0.31;3.62;0%;687;46236;10564;0;30524
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-qt-5.15;64;qtbase;279.34;0.06;0.41;0%;33;16144;10598;0;30588
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-qt-5.15;64;qtdeclarative;119.04;0.07;0.35;0%;37;15666;10595;0;30484
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-qt-5.15;64;qtwebengine;727.31;0.50;4.43;0%;774;65293;10561;0;30672
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-rust-1.39-j-1;64;rust-native;4851.72;0.12;0.75;0%;43;27457;10559;0;30580
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-rust-1.39-parallel;64;rust-native;650.04;0.06;0.35;0%;32;10673;10546;0;30580
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-rust-1.39;64;rust-native;831.95;0.06;0.36;0%;38;11374;10550;0;30612
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;32;chromium-x11;2138.39;0.90;8.24;0%;748;136064;10568;0;30436
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;32;qtbase;263.42;0.04;0.36;0%;26;12490;10556;0;30480
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;32;qtdeclarative;127.22;0.04;0.30;0%;32;10498;10573;0;30660
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;32;qtwebengine;723.45;0.36;2.87;0%;222;60056;10541;0;30468
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;32;rust-native;1254.93;0.04;0.45;0%;35;12990;10553;0;30468
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;48;chromium-x11;1845.42;0.94;8.98;0%;1281;118365;10563;0;30560
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;48;qtbase;260.67;0.06;0.34;0%;31;11079;10567;0;30520
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;48;qtdeclarative;124.12;0.04;0.30;0%;30;10505;10546;0;30532
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;48;qtwebengine;624.08;0.39;3.12;0%;435;54607;10561;0;30640
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;48;rust-native;1256.06;0.05;0.42;0%;47;12992;10543;0;30404
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;64;chromium-x11;1657.46;0.94;9.65;0%;1937;97514;10557;0;30424
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;64;qtbase;267.24;0.04;0.35;0%;23;10995;10543;0;30364
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;64;qtdeclarative;121.72;0.04;0.30;0%;29;10448;10553;0;30464
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;64;qtwebengine;583.66;0.40;3.15;0%;642;46520;10562;0;30612
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;-tmpfs;64;rust-native;1249.31;0.04;0.42;0%;38;12934;10565;0;30520
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;4;64G;;32;chromium-x11;2157.97;0.78;8.48;0%;846;135485;10531;0;30628
